NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM)
Emily Smiley Snowden,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1977.104_1,1793,90.5 x 78.4
John Adams,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_75_52,1793,65.1 × 54.9
William Shippen,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.5_1,1794,4.4 x 3.5
John Witherspoon,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_91_81Witherspoon_d1,1794,76.2 x 64.8
San José y el Cristo Niño,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.4_1,1794,94.0 x 72.4
Lawrence Reid Yates,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.3_1,1794,7.5 x 6.0
Captain Joseph Anthony,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.1_1,1794,7.0 x 5.7
The Davis Children (Eliza Cheever Davis and John Derby Davis),Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-2019.6.12_1,1795,123.2 × 97.8
Thomas Lee Shippen,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.4_1,1795,4.4 x 3.5
Mrs. John Corlis (Susannah Condé Russell),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.2_1,1795,7.3 x 6.0
Mr. John Corlis,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.1_1,1795,7.3 x 6.0
Mrs. Elizabeth Pollock Hartigan,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.4_1,1795,6.7 x 5.4
Elizabeth Oliphant,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.3_1,1795,7.0 x 5.8
Elizabeth Depeyster Peale,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2009_49Depeyster-000004,1795,7 x 5.9
George Washington,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_59,1795,75.6 x 64.5
Arthur St. Claire,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_31StClaire-000001,1795,7 x 5.4
Reverend Justus Henry Christian Helmuth,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_7Helmuth-000003,1795,78.8 x 71.1
Jane Gray Wall,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.3_1,1795,7.9 x 6.4
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.45_1,1795,4.4 x 3.5
Mrs. Philip John Schuyler (Catherine van Rensselaer),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.43_1,1795,10.0 x 7.8
Major-General Anthony Wayne,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.41_1,1795,4.5 x 3.4
Don José Mas Ferrer,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.1_1,1795,54.0 x 41.7
John Jauncey Ketchum,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1986.64.1_1,1795,8.6 x 6.0
Portrait of a Gentleman with Initials C. B.,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.2_1,1795,5.4 x 6.7
Portrait of a Gentleman with Initials H. D. C.,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.1_1,1795,5.4 x 6.7
Mrs. William Boswell Lamb (Margaret Stuart Kerr),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.5_1,1795,4.0 x 3.0
William Boswell Lamb,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.4_1,1795,4.0 x 3.0
Captain Robert Lillibridge,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.1_1,1795,6.0 x 4.4
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.22_1,1795,3.6 x 2.7
T. Stanford,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.2_1,1795,6.7 x 5.4
Portrait of a Gentleman with Initials J. B.,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.4_1,1795,6.5 x 5.0
Augustus Fricke,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.7.10_1,1795,7.0 x 7.5
Portrait of a Lady from S. Carolina Huguenot Family,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.5_1,1795,4.4 x 3.5
George Fisher,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.24_1,1795,6.2 x 5.7
Mrs. John McCluney,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.12.3_1,1795,6.7 x 5.4
Member of the Washington Family,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.10.2_1-000001,1795,5.1 x 4.1
Dr. William Beekman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.8_1,1795,7.3 x 5.9
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.3_1,1795,6.7 x 5.5
Brother-in-law of Mrs. Alexander Rose,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.2_1,1795,4.0 x 3.0
David Rittenhouse,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_73Rittenhouse_d1,1796,124.5 x 100.3
Charles Cotesworth Pinckney,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_122Pinckney-000002,1796,66.2 × 56.2
George Washington (Lansdowne Portrait),Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_13_ext,1796,247.6 × 158.7
George Washington,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NPG-NPG_2013_140GW-000001/full/250,/0/default.jpg",1796,8.3 × 6.5
